,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Genre,Like or not like,Percent
16,0.000859,https://api.spotify.com/v1/audio-analysis/2OMqSRS11ly56zg9u5za6c,0.424,158733,0.949,2OMqSRS11ly56zg9u5za6c,5.84E-05,7,0.279,-4.821,1,0.265,191.928,4,https://api.spotify.com/v1/tracks/2OMqSRS11ly56zg9u5za6c,audio_features,spotify:track:2OMqSRS11ly56zg9u5za6c,0.548,2,-1,0.440856718
17,0.00407,https://api.spotify.com/v1/audio-analysis/18IqyOGs1pRNZfbMo93r57,0.491,220027,0.888,18IqyOGs1pRNZfbMo93r57,0,5,0.286,-4.412,1,0.038,135.253,4,https://api.spotify.com/v1/tracks/18IqyOGs1pRNZfbMo93r57,audio_features,spotify:track:18IqyOGs1pRNZfbMo93r57,0.652,2,-1,0.468865153
18,0.000494,https://api.spotify.com/v1/audio-analysis/6xyiHZgrmXw7sMyYXbXjPV,0.435,207634,0.95,6xyiHZgrmXw7sMyYXbXjPV,0,8,0.317,-3.869,1,0.106,160.987,4,https://api.spotify.com/v1/tracks/6xyiHZgrmXw7sMyYXbXjPV,audio_features,spotify:track:6xyiHZgrmXw7sMyYXbXjPV,0.447,2,-1,0.141588632
19,0.0475,https://api.spotify.com/v1/audio-analysis/0c2yZp1tTYAUiKraMdS8Yg,0.56,244824,0.731,0c2yZp1tTYAUiKraMdS8Yg,0,2,0.282,-6.121,1,0.0281,99.981,4,https://api.spotify.com/v1/tracks/0c2yZp1tTYAUiKraMdS8Yg,audio_features,spotify:track:0c2yZp1tTYAUiKraMdS8Yg,0.412,2,-1,0.58504204
20,0.00168,https://api.spotify.com/v1/audio-analysis/7GZKme55JpmLq3alBDQm11,0.56,197640,0.751,7GZKme55JpmLq3alBDQm11,5.22E-05,4,0.168,-6.022,0,0.0364,93.969,4,https://api.spotify.com/v1/tracks/7GZKme55JpmLq3alBDQm11,audio_features,spotify:track:7GZKme55JpmLq3alBDQm11,0.158,2,-1,0.441438238
21,0.0137,https://api.spotify.com/v1/audio-analysis/1BECwm5qkaBwlbfo4kpYx8,0.462,203507,0.538,1BECwm5qkaBwlbfo4kpYx8,0,0,0.429,-5.527,1,0.059,139.256,4,https://api.spotify.com/v1/tracks/1BECwm5qkaBwlbfo4kpYx8,audio_features,spotify:track:1BECwm5qkaBwlbfo4kpYx8,0.385,2,-1,0.442308048
22,0.00043,https://api.spotify.com/v1/audio-analysis/2g2a5kDeZexbUTD8abcvm6,0.62,190173,0.93,2g2a5kDeZexbUTD8abcvm6,0,1,0.0686,-3.685,1,0.0374,106.22,4,https://api.spotify.com/v1/tracks/2g2a5kDeZexbUTD8abcvm6,audio_features,spotify:track:2g2a5kDeZexbUTD8abcvm6,0.573,2,-1,0.402756833
23,0.00527,https://api.spotify.com/v1/audio-analysis/7cQMJ0wDqVS5iM0JIvP6Ay,0.577,230427,0.882,7cQMJ0wDqVS5iM0JIvP6Ay,0,8,0.257,-5.224,1,0.0492,115.022,4,https://api.spotify.com/v1/tracks/7cQMJ0wDqVS5iM0JIvP6Ay,audio_features,spotify:track:7cQMJ0wDqVS5iM0JIvP6Ay,0.564,2,-1,0.246697234
24,0.004,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,0.385,228360,0.866,04aAxqtGp5pv12UXAg4pkq,0,4,0.111,-2.817,0,0.0697,176.014,4,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,audio_features,spotify:track:04aAxqtGp5pv12UXAg4pkq,0.548,2,-1,0.578562351
25,0.0741,https://api.spotify.com/v1/audio-analysis/2WEjutXYTp4QW85jLDMcXQ,0.518,226330,0.554,2WEjutXYTp4QW85jLDMcXQ,0,1,0.0696,-5.467,1,0.0259,84.987,4,https://api.spotify.com/v1/tracks/2WEjutXYTp4QW85jLDMcXQ,audio_features,spotify:track:2WEjutXYTp4QW85jLDMcXQ,0.2,2,-1,0.608158244
